ten_cong_viec,ten_cong_ty,muc_luong,dia_chi,ngay_dang,nganh_nghe,quy_mo_cong_ty,quoc_tich_cong_ty,nam_kinh_nghiem,cap_bac,loai_hinh,loai_hop_dong,cong_nghe_su_dung,quy_trinh_phong_van,url
"['Unity Developer (Junior, Senior)']",['VRILLAR VIETNAM'],['Thương lượng'],"['Lầu 6, 161 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],['Software'],['25-99 Nhân viên'],['South-Korea'],['Từ 2 năm'],"['Junior, Senior']",['In Office'],['Fulltime'],"['Unity', 'C#', 'Game']","['Vòng 1: Resume review', 'Vòng 2: Interview', 'Vòng 3: Send final offer letter upon acceptance']",https://topdev.vn/viec-lam/unity-developer-junior-senior-vrillar-vietnam-2034359?src=topdev_search&medium=searchresult
['[DI6] Senior Front-End Developer (Angular) - MSB -1Y562'],['Ngân hàng TMCP Hàng Hải Việt Nam (MSB)'],['1.000 USD to 2.000 USD'],"['TNR Tower, Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 3 ngày trước'],"['Ngân Hàng, Tài Chính, Công nghệ thông tin']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 3 năm'],['Senior'],['In Office'],['Fulltime'],['Angular'],[],https://topdev.vn/viec-lam/di6-senior-front-end-developer-angular-msb-1y562-ngan-hang-tmcp-hang-hai-viet-nam-msb-2034362?src=topdev_search&medium=searchresult
['DEVOPS ENGINEER - EDTECH DOMAIN'],['Eduvator'],['Từ 27.000.000 VND'],"['308 Trần Phú, Phường 08, Quận 5, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],"['Giáo dục, EdTech']",['100-499 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Linux', 'Git', 'DevOps', 'AWS', 'CI/CD']","['Vòng 1: Phone Screening', 'Vòng 2: Technical Interview', 'Vòng 3: Final Interview']",https://topdev.vn/viec-lam/devops-engineer-edtech-domain-eduvator-2034357?src=topdev_search&medium=searchresult
['Senior Backend Engineer (Java)'],['One Mount Group'],['Thương lượng'],"['Tower 2 Times City, 458 Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội']",['Đăng 3 ngày trước'],['Dịch vụ doanh nghiệp'],['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 5 năm'],['Senior'],['In Office'],['Fulltime'],"['Java', 'SQL', 'Back-End', 'Restful Api', 'Spring Boot']",[],https://topdev.vn/viec-lam/senior-backend-engineer-java-one-mount-group-2034386?src=topdev_search&medium=searchresult
['MIDDLE .NET DEVELOPER'],['INFOPLUS'],['Thương lượng'],"['Tầng 17, Tòa nhà IDMC Mỹ Đình, số 15 Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội']",['Đăng 3 ngày trước'],['Dịch vụ IT'],['100-499 Nhân viên'],"['Vietnam, Korea']",['Từ 4 năm'],['Middle'],['In Office'],['Fulltime'],"['C#', '.NET', 'ERP', 'SQL Server', 'Database']",[],https://topdev.vn/viec-lam/middle-net-developer-infoplus-2034355?src=topdev_search&medium=searchresult
['05 QA/Tester (English)'],['CQ TDT ASIA JSC'],['Lên tới 1.500 USD'],"['Tầng 5, Tòa PVI Tower, số 1 Phạm Văn Bạch, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội']",['Đăng 3 ngày trước'],"['Product, Fintech, Software, Information Technology, Tài Chính, Finance, Chứng khoán']",['100-499 Nhân viên'],"['Japan, Singapore, Vietnam']",['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['QA', 'Tester', 'Manual Test']","['Vòng 1: Phỏng vấn Technical (có làm bài test)', 'Vòng 2: Phỏng vấn về văn hóa']",https://topdev.vn/viec-lam/05-qa-tester-english-cq-tdt-asia-jsc-2034363?src=topdev_search&medium=searchresult
['EMBEDDED ENGINEER (English/Japanese)'],['SHAREWORK SOFTWARE TECHNOLOGY CO.LTD'],['Thương lượng'],"['55-57 Bàu Cát 4, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh']",['Đăng 3 ngày trước'],"['IT Consultant, Software, Dịch vụ IT, Sản phẩm dịch vụ, Công nghệ thông tin']",['100-499 Nhân viên'],['Vietnam'],['Từ 1 năm'],"['Junior, Middle, Senior']",['In Office'],['Fulltime'],"['C/C++', 'Automotive', 'Embedded Engineer']",[],https://topdev.vn/viec-lam/embedded-engineer-english-japanese-sharework-software-technology-co-ltd-2034364?src=topdev_search&medium=searchresult
['CHUYÊN VIÊN PHÂN TÍCH VÀ XỬ LÝ SỰ CỐ AN TOÀN THÔNG TIN (SOC ANALYST) - TT. AN TOÀN THÔNG TIN'],['Ngân hàng TMCP Sài Gòn Thương tín (Sacombank)'],['Thương lượng'],"['266-268 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh']",['Đăng 4 ngày trước'],"['Product, Fintech, Ngân Hàng, Finance']",['10.000-19.999 Nhân viên'],['Vietnam'],['Từ 2 năm'],['Senior'],['In Office'],['Fulltime'],"['Linux', 'Windows', 'IT Service']",[],https://topdev.vn/viec-lam/chuyen-vien-phan-tich-va-xu-ly-su-co-an-toan-thong-tin-soc-analyst-tt-an-toan-thong-tin-ngan-hang-tmcp-sai-gon-thuong-tin-sacombank-2034006?src=topdev_search&medium=searchresult
['[Da Nang] IT Manager (Java/C#/JavaScript/Agile...) (Up to 50 Mil)'],['CHI NHÁNH CÔNG TY TNHH PASONA TECH VIỆT NAM TẠI ĐÀ NẴNG'],['Lên tới 50.000.000 VND'],"['243 Phan Đăng Lưu, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng']",['Đăng 4 ngày trước'],['Software'],['100-499 Nhân viên'],['Japan'],['Từ 5 năm'],['Trưởng phòng'],['In Office'],['Fulltime'],"['Agile', 'Java', 'JavaScript', 'C#', 'Scrum']",[],https://topdev.vn/viec-lam/da-nang-it-manager-java-c-javascript-agile-up-to-50-mil-chi-nhanh-cong-ty-tnhh-pasona-tech-viet-nam-tai-da-nang-2034012?src=topdev_search&medium=searchresult
['GIÁO VIÊN TIN HỌC TẠI TPHCM'],['GEMS ENGLISH'],['Thương lượng'],"['Tầng 2- Số 607 Xô Viết Nghệ Tĩnh (Chung cư SGCC-Bình Quới 1), Phường 26, Quận Bình Thạnh, Thành phố Hồ Chí Minh', 'KHU VỰC: NHÀ BÈ, BÌNH CHÁNH, THỦ ĐỨC, Phường Thủ Thiêm, Thành phố Thủ Đức, Thành phố Hồ Chí Minh']",['Đăng 4 ngày trước'],"['Phần cứng, Giáo dục, Dịch vụ IT']",['25-99 Nhân viên'],['Vietnam'],['Từ 1 năm'],"['Junior, Middle, Senior']",['In Office'],"['Fulltime', 'Part-time']",['MS Office'],['Vòng 1: Phỏng vấn trực tiếp với Head of IT Training Department.'],https://topdev.vn/viec-lam/giao-vien-tin-hoc-tai-tphcm-gems-english-2034277?src=topdev_search&medium=searchresult
['[DI6] Senior Tester (Automation/Manual) – MSB - 1Y561'],['Ngân hàng TMCP Hàng Hải Việt Nam (MSB)'],['Lên tới 2.000 USD'],"['TNR Tower, Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 4 ngày trước'],"['Ngân Hàng, Tài Chính, Công nghệ thông tin']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 3 năm'],['Senior'],['In Office'],['Fulltime'],"['Tester', 'Database', 'Automation Tester', 'Manual Test', 'Mobile Tester']",[],https://topdev.vn/viec-lam/di6-senior-tester-automation-manual-msb-1y561-ngan-hang-tmcp-hang-hai-viet-nam-msb-2034252?src=topdev_search&medium=searchresult
"['Senior Python Data Engineer (Databricks, Delta Lake)']",['International Centre for Trade Transparency Limited'],['Thương lượng'],"['Thao Dien, District 2, Thành phố Hồ Chí Minh']",['Đăng 4 ngày trước'],['B2B Services'],['100-499 Nhân viên'],['United-Kingdom'],['Từ 6 năm'],['Senior'],['In Office'],['Fulltime'],"['Python', 'Data Engineer', 'PostgreSql']","['Vòng 1: Remote job interview', 'Vòng 2: In person job interview', 'Vòng 3: Job offers and immediate start']",https://topdev.vn/viec-lam/senior-python-data-engineer-databricks-delta-lake-international-centre-for-trade-transparency-limited-2034272?src=topdev_search&medium=searchresult
['[DI6] IT Business Analyst - MSB - 1Y563'],['Ngân hàng TMCP Hàng Hải Việt Nam (MSB)'],['1.000 USD to 1.500 USD'],"['TNR Tower, Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 4 ngày trước'],"['Ngân Hàng, Tài Chính, Công nghệ thông tin']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 2 năm'],"['Middle, Senior']",['In Office'],['Fulltime'],"['Oracle', 'MySQL', 'Data Analytics', 'API', 'Business Analyst']",[],https://topdev.vn/viec-lam/di6-it-business-analyst-msb-1y563-ngan-hang-tmcp-hang-hai-viet-nam-msb-2034280?src=topdev_search&medium=searchresult
['[DI6] Senior Java Developer/Squad Lead – MSB - 1Y560'],['Ngân hàng TMCP Hàng Hải Việt Nam (MSB)'],['Thương lượng'],"['TNR Tower, Số 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội']",['Đăng 4 ngày trước'],"['Ngân Hàng, Tài Chính, Công nghệ thông tin']",['Hơn 1000 Nhân viên'],['Vietnam'],['Từ 3 năm'],"['Trưởng Nhóm, Senior']",['In Office'],['Fulltime'],"['Java', 'SQL', 'Java Core']",[],https://topdev.vn/viec-lam/di6-senior-java-developer-squad-lead-msb-1y560-ngan-hang-tmcp-hang-hai-viet-nam-msb-2034251?src=topdev_search&medium=searchresult
